id_a,id_b,friendship,proximity,sms,calls
24,26,not_friend,not_close,not_texted,not_called
38,80,not_friend,not_close,not_texted,not_called
28,60,friend,not_close,not_texted,not_called
34,42,not_friend,close,not_texted,not_called
1,62,not_friend,close,not_texted,not_called
34,35,not_friend,close,not_texted,not_called
55,74,not_friend,not_close,not_texted,not_called
49,70,not_friend,not_close,not_texted,not_called
47,66,friend,close,not_texted,not_called
9,60,not_friend,not_close,not_texted,not_called
9,35,friend,not_close,not_texted,called
28,56,friend,close,not_texted,not_called
2,3,friend,not_close,not_texted,not_called
16,37,not_friend,not_close,not_texted,not_called
58,64,not_friend,not_close,not_texted,not_called
14,43,friend,close,not_texted,not_called
23,53,friend,not_close,not_texted,not_called
9,51,not_friend,not_close,not_texted,not_called
7,65,not_friend,not_close,not_texted,not_called
7,30,not_friend,close,not_texted,not_called
79,80,friend,not_close,not_texted,not_called
55,69,not_friend,close,not_texted,not_called
13,67,not_friend,not_close,not_texted,not_called
21,80,friend,not_close,not_texted,not_called
2,26,not_friend,not_close,not_texted,not_called
51,75,not_friend,not_close,not_texted,not_called
7,49,not_friend,not_close,not_texted,not_called
23,61,not_friend,not_close,not_texted,not_called
43,46,friend,close,not_texted,called
9,28,friend,not_close,not_texted,not_called
62,73,not_friend,not_close,not_texted,not_called
47,59,friend,close,not_texted,not_called
65,84,friend,not_close,not_texted,not_called
16,39,not_friend,not_close,not_texted,not_called
49,53,not_friend,not_close,not_texted,not_called
9,73,not_friend,not_close,not_texted,not_called
7,12,not_friend,close,not_texted,not_called
39,66,not_friend,not_close,not_texted,not_called
15,64,not_friend,close,not_texted,not_called
15,31,not_friend,close,not_texted,not_called
16,40,not_friend,not_close,not_texted,not_called
16,30,not_friend,close,not_texted,not_called
51,62,not_friend,close,not_texted,not_called
61,74,not_friend,not_close,not_texted,not_called
55,58,not_friend,close,not_texted,not_called
16,71,not_friend,not_close,not_texted,not_called
41,69,not_friend,not_close,not_texted,not_called
28,51,friend,close,not_texted,not_called
34,51,friend,close,not_texted,not_called
23,58,not_friend,close,not_texted,not_called
18,51,not_friend,close,not_texted,not_called
73,74,not_friend,not_close,not_texted,not_called
24,46,not_friend,not_close,not_texted,not_called
2,68,friend,close,not_texted,not_called
22,28,friend,not_close,not_texted,not_called
46,61,not_friend,close,not_texted,not_called
17,39,not_friend,not_close,not_texted,not_called
60,62,friend,close,not_texted,not_called
19,33,not_friend,not_close,not_texted,not_called
2,51,friend,not_close,not_texted,not_called
14,69,not_friend,not_close,not_texted,not_called
34,64,not_friend,not_close,not_texted,not_called
1,75,not_friend,close,not_texted,not_called
39,74,not_friend,not_close,not_texted,not_called
18,45,not_friend,close,not_texted,not_called
17,55,not_friend,not_close,not_texted,not_called
38,48,not_friend,close,not_texted,not_called
25,67,friend,not_close,not_texted,not_called
50,81,friend,not_close,not_texted,not_called
10,44,friend,not_close,not_texted,not_called
42,84,not_friend,not_close,not_texted,not_called
36,68,friend,not_close,texted,called
19,42,friend,close,not_texted,not_called
22,60,friend,close,not_texted,not_called
14,21,not_friend,not_close,not_texted,not_called
13,40,not_friend,not_close,not_texted,not_called
8,30,not_friend,close,not_texted,not_called
39,61,not_friend,not_close,not_texted,not_called
33,46,not_friend,not_close,not_texted,not_called
11,41,not_friend,not_close,not_texted,not_called
55,78,not_friend,not_close,not_texted,not_called
17,42,friend,not_close,not_texted,not_called
5,76,not_friend,close,not_texted,not_called
58,63,friend,not_close,not_texted,not_called
24,31,friend,close,texted,called
67,73,friend,not_close,not_texted,not_called
10,42,not_friend,not_close,not_texted,not_called
2,46,friend,close,not_texted,not_called
33,44,not_friend,not_close,not_texted,not_called
1,82,not_friend,not_close,not_texted,not_called
46,52,friend,close,not_texted,not_called
1,53,not_friend,not_close,not_texted,not_called
19,55,not_friend,close,not_texted,not_called
36,52,friend,not_close,not_texted,not_called
16,57,friend,close,not_texted,not_called
34,41,not_friend,not_close,not_texted,not_called
1,28,friend,not_close,not_texted,not_called
8,16,not_friend,close,not_texted,not_called
8,76,not_friend,close,not_texted,not_called
11,30,not_friend,close,not_texted,not_called
14,46,friend,close,not_texted,called
6,45,not_friend,not_close,not_texted,not_called
23,32,friend,close,not_texted,not_called
29,32,friend,close,not_texted,not_called
56,69,not_friend,close,not_texted,not_called
46,63,not_friend,not_close,not_texted,not_called
8,56,not_friend,close,not_texted,not_called
7,27,friend,close,not_texted,not_called
21,24,friend,close,not_texted,called
13,71,not_friend,not_close,not_texted,not_called
51,57,friend,not_close,not_texted,not_called
2,19,not_friend,not_close,not_texted,not_called
11,63,friend,not_close,not_texted,called
3,52,friend,not_close,not_texted,not_called
35,65,friend,close,not_texted,not_called
25,41,not_friend,not_close,not_texted,not_called
52,82,friend,not_close,not_texted,not_called
70,81,not_friend,not_close,not_texted,not_called
69,82,not_friend,not_close,not_texted,not_called
5,48,not_friend,close,not_texted,not_called
57,66,not_friend,not_close,not_texted,not_called
57,84,not_friend,not_close,not_texted,not_called
27,37,not_friend,not_close,not_texted,not_called
32,41,not_friend,not_close,not_texted,not_called
40,81,not_friend,not_close,not_texted,not_called
27,40,not_friend,not_close,not_texted,not_called
50,58,not_friend,not_close,not_texted,not_called
30,55,not_friend,close,not_texted,not_called
53,63,not_friend,not_close,not_texted,not_called
18,32,friend,close,not_texted,not_called
36,57,not_friend,not_close,not_texted,not_called
73,80,not_friend,not_close,not_texted,not_called
6,14,friend,close,not_texted,not_called
65,68,friend,close,not_texted,not_called
12,52,not_friend,close,not_texted,not_called
10,65,friend,not_close,not_texted,not_called
75,83,not_friend,not_close,not_texted,not_called
50,74,not_friend,not_close,not_texted,not_called
5,57,not_friend,close,not_texted,not_called
35,38,friend,not_close,not_texted,not_called
45,67,not_friend,close,not_texted,not_called
60,75,not_friend,close,not_texted,not_called
48,74,friend,not_close,not_texted,not_called
11,52,friend,close,not_texted,not_called
8,78,not_friend,not_close,not_texted,not_called
51,69,not_friend,close,not_texted,not_called
30,42,friend,close,not_texted,called
33,84,not_friend,not_close,not_texted,not_called
42,59,friend,close,not_texted,not_called
33,66,not_friend,not_close,not_texted,not_called
6,63,not_friend,not_close,not_texted,not_called
17,77,not_friend,not_close,not_texted,not_called
39,48,not_friend,not_close,not_texted,not_called
71,75,not_friend,not_close,not_texted,not_called
17,37,not_friend,not_close,not_texted,not_called
38,66,friend,not_close,not_texted,not_called
58,76,not_friend,not_close,not_texted,not_called
27,53,not_friend,not_close,not_texted,not_called
6,70,friend,close,not_texted,not_called
30,73,not_friend,not_close,not_texted,not_called
26,49,friend,not_close,not_texted,not_called
5,37,not_friend,not_close,not_texted,not_called
38,46,friend,not_close,not_texted,not_called
42,44,friend,close,not_texted,called
71,81,friend,not_close,not_texted,not_called
8,41,friend,not_close,not_texted,not_called
10,55,not_friend,not_close,not_texted,not_called
26,65,friend,close,texted,called
12,70,not_friend,close,not_texted,not_called
12,25,not_friend,close,not_texted,not_called
50,56,not_friend,not_close,not_texted,not_called
20,28,friend,close,not_texted,not_called
29,66,friend,close,not_texted,not_called
4,56,friend,close,not_texted,not_called
65,78,friend,not_close,not_texted,not_called
20,51,friend,close,not_texted,not_called
61,69,not_friend,close,not_texted,not_called
3,25,friend,not_close,not_texted,not_called
45,79,friend,not_close,not_texted,called
3,70,friend,not_close,not_texted,not_called
32,58,not_friend,not_close,not_texted,not_called
4,16,friend,close,not_texted,called
3,67,friend,not_close,not_texted,called
43,61,not_friend,close,not_texted,not_called
83,84,not_friend,not_close,not_texted,not_called
36,44,friend,not_close,not_texted,called
18,60,friend,close,not_texted,not_called
12,38,not_friend,not_close,not_texted,not_called
66,68,not_friend,not_close,not_texted,not_called
15,41,not_friend,not_close,not_texted,not_called
3,38,not_friend,not_close,not_texted,not_called
26,31,not_friend,not_close,not_texted,not_called
41,78,not_friend,not_close,not_texted,not_called
10,22,not_friend,not_close,not_texted,not_called
29,46,friend,close,not_texted,not_called
31,44,not_friend,close,not_texted,not_called
26,47,not_friend,not_close,not_texted,not_called
25,30,not_friend,close,not_texted,not_called
78,82,friend,not_close,not_texted,not_called
5,15,not_friend,close,not_texted,not_called
68,71,friend,close,not_texted,not_called
3,41,not_friend,not_close,not_texted,not_called
18,21,not_friend,close,not_texted,not_called
36,40,friend,not_close,not_texted,not_called
21,49,not_friend,not_close,not_texted,not_called
32,78,friend,not_close,not_texted,not_called
70,84,friend,not_close,not_texted,not_called
82,83,not_friend,not_close,not_texted,not_called
46,84,not_friend,not_close,not_texted,not_called
5,39,not_friend,not_close,not_texted,not_called
21,65,friend,close,not_texted,not_called
10,31,friend,not_close,not_texted,not_called
43,72,not_friend,close,not_texted,not_called
69,77,not_friend,not_close,not_texted,not_called
3,4,not_friend,not_close,not_texted,not_called
35,73,not_friend,not_close,not_texted,not_called
27,71,not_friend,close,not_texted,not_called
12,41,not_friend,not_close,not_texted,not_called
57,68,friend,not_close,not_texted,not_called
26,27,not_friend,not_close,texted,not_called
53,70,friend,not_close,not_texted,not_called
41,84,not_friend,not_close,not_texted,not_called
63,64,not_friend,not_close,not_texted,not_called
40,78,friend,not_close,not_texted,not_called
16,38,not_friend,not_close,not_texted,not_called
24,78,not_friend,not_close,not_texted,not_called
9,72,friend,not_close,not_texted,not_called
43,47,not_friend,close,not_texted,not_called
63,76,not_friend,not_close,not_texted,not_called
23,62,friend,close,not_texted,not_called
20,46,friend,close,not_texted,called
37,61,not_friend,not_close,not_texted,called
29,48,friend,close,not_texted,not_called
16,41,not_friend,not_close,not_texted,not_called
15,63,not_friend,not_close,not_texted,not_called
15,32,not_friend,close,not_texted,not_called
55,59,not_friend,close,not_texted,not_called
61,77,not_friend,not_close,not_texted,not_called
33,76,not_friend,not_close,not_texted,called
51,61,not_friend,close,not_texted,not_called
31,37,not_friend,not_close,not_texted,not_called
34,50,not_friend,not_close,not_texted,not_called
47,58,not_friend,close,not_texted,not_called
24,41,not_friend,not_close,not_texted,not_called
4,38,not_friend,close,not_texted,not_called
9,29,not_friend,close,not_texted,not_called
16,49,not_friend,not_close,not_texted,not_called
37,54,not_friend,not_close,not_texted,not_called
36,75,not_friend,not_close,not_texted,not_called
10,13,not_friend,not_close,not_texted,not_called
15,52,not_friend,close,not_texted,not_called
15,25,not_friend,close,not_texted,not_called
4,36,not_friend,close,not_texted,not_called
20,60,friend,not_close,not_texted,not_called
23,34,friend,close,not_texted,not_called
5,83,not_friend,not_close,not_texted,not_called
44,83,not_friend,not_close,not_texted,not_called
12,67,friend,not_close,not_texted,not_called
40,77,friend,not_close,not_texted,called
65,77,not_friend,not_close,not_texted,not_called
28,45,friend,not_close,not_texted,not_called
42,71,friend,close,not_texted,called
4,70,friend,close,not_texted,not_called
41,55,not_friend,not_close,not_texted,not_called
41,75,not_friend,not_close,not_texted,not_called
41,51,not_friend,not_close,not_texted,not_called
44,59,friend,not_close,not_texted,not_called
65,66,friend,close,not_texted,not_called
43,50,not_friend,not_close,not_texted,not_called
23,82,not_friend,not_close,not_texted,not_called
6,9,friend,not_close,not_texted,not_called
28,29,friend,not_close,not_texted,not_called
47,69,not_friend,close,not_texted,not_called
52,64,friend,close,not_texted,not_called
44,75,not_friend,not_close,not_texted,not_called
24,67,not_friend,not_close,not_texted,not_called
13,24,not_friend,not_close,not_texted,not_called
18,68,friend,close,not_texted,not_called
2,45,not_friend,not_close,not_texted,not_called
2,32,friend,close,not_texted,not_called
24,32,not_friend,not_close,not_texted,not_called
28,70,friend,close,not_texted,not_called
5,71,friend,close,not_texted,not_called
6,84,friend,not_close,not_texted,not_called
67,72,friend,close,not_texted,not_called
33,47,not_friend,not_close,not_texted,not_called
